ho_url_id	page_category	page_url
1	PRODUCT COMPARISON	foscam.us/forum/ip-camera-comparison-chart-t2676.html
2	PRODUCT CATEGORY	www.ebay.com/bhp/fuzzy-socks
3	PRODUCT CATEGORY	haband.blair.com/t/footwear/womens/dr-scholls174/pc/3606/c/3618/3619.uts
4	PRODUCT CATEGORY	akro-mils.com/Products/Types/Plastic-Storage-Containers
5	PRESS RELEASE	www.eeoc.gov/eeoc/newsroom/release/archive/7-27-04.html
6	PRODUCT CATEGORY	www.videogamer.com/top-games/wii-family-games-all-time/
7	PRESS RELEASE	ir.valeant.com/news-releases/Archive/2008/22-12-2008
8	PRODUCT COMPARISON	www.phonearena.com/phones/compare/Apple-iPad-mini,Apple-iPad-2-Wi-Fi/phones/7523,5264
9	DOCUMENTATION	developer.openstack.org/api-ref-networking-v2.html
10	INFOGRAPHIC	www.pinterest.com/mickeyshuey/suit-up-infographics/
11	STORE LOCATOR	www.balenciaga.com/experience/us/pages/store-locator/
12	WHITEPAPER	www.techrepublic.com/resource-library/whitepapers/sample-hardware-design-engineer-resume/
13	STORE LOCATOR	gokaysarioz.com/ndxz-studio/config/indexl.php?u=american-eagle-kids-store-locations
14	PRODUCT CATEGORY	www.target.com/p/threshold-metal-coat-rack-with-umbrella-stand/-/A-14392782
15	WHITEPAPER	www.sans.org/reading-room/whitepapers/testing/automated-security-testing-oracle-forms-applications-35970
16	PRODUCT DETAIL	www.staples.com/OfficeJet-4500-G510n-Wireless/cat_CL167371
17	STORE LOCATOR	www.storelocations411.com/bojangles/Montgomery/listing.html
18	PRODUCT DETAIL	www.walmart.com/browse/toys/toy-organizers/4171_1105892
19	INFOGRAPHIC	freshome.com/2014/03/18/choose-perfect-swimming-pool-layout-home-infographic/
20	PRODUCT COMPARISON	www.zend.com/en/products/server/developer-editions-comparison/detailed
21	PRODUCT CATEGORY	www.pinterest.com/explore/patio-storage/
22	PRODUCT CATEGORY	www.lee.com/store/LEE_STORE_US/en_US/category/collections/for-her/riders-by-lee.html
23	WHITEPAPER	www.tableau.com/learn/whitepapers/google-bigquery-tableau-best-practices
24	STORE LOCATOR	storefound.org/the-bombay-company-store-hours-locations/mi
25	WHITEPAPER	www.kioskmarketplace.com/topics/kiosk-design/whitepapers/
26	INFOGRAPHIC	visualcontenting.com/category/b2b-marketing/
27	DOCUMENTATION	media.3ds.com/support/simulia/public/flexlm108/EndUser/chap13.htm
28	PRODUCT COMPARISON	www.theguardian.com/technology/askjack/2013/may/23/desktop-pc-dell
29	DOCUMENTATION	blogs.oracle.com/stevenChan/entry/new_options_for_accessing_ebs
30	DOCUMENTATION	www.vladan.fr/vmware-horizon-view-6-1-1-released/
31	STORE LOCATOR	www.officedepot.com/storelocator/ca/woodland-hills/office-depot-661/
32	PRODUCT DETAIL	www.amazon.com/Dark-Angel-Casteel-Saga-Book/dp/0671682849
33	PRODUCT CATEGORY	www.bestbuy.com/site/sony-am-fm-dual-alarm-clock-radio-black/4802003.p?id=1219103673259
34	PRODUCT CATEGORY	www.homedepot.com/b/Independent-Living-Bath-Comfort-Height-Toilets/N-5yc1vZc8jd
35	PRODUCT CATEGORY	www.bose.com/en_us/products/headphones/over_ear_headphones/soundlink-on-ear-bluetooth-headphones.html
36	WHITEPAPER	www.pardot.com/whitepapers/marketing-automation-success-kit/
37	DOCUMENTATION	netbackup.wordpress.com/
38	STORE LOCATOR	thekinkosstorelocator.com/Kinkos-Store-locator-map.html/city=Flint&amp;state=MI
39	INFOGRAPHIC	www.easyvista.com/infographic-easyvista-2014-itsm-trends-survey/
40	WHITEPAPER	www.agileload.com/docs/whitepapers/agileload-jboss-performance-tuning-whitepaper.pdf?sfvrsn=0
41	PRODUCT DETAIL	www.walmart.com/ip/Sunbeam-Spoon-Straw/37532842
42	WHITEPAPER	whitepapers.datacenterknowledge.com/content54882
43	WHITEPAPER	www.ups-scs.com/solutions/whitepapers.html
44	PRODUCT CATEGORY	www.redstate.com/diary/tngal/2016/02/06/water-cooler-2616/
45	PRODUCT DETAIL	philipwesley.com/store/dark-night-of-the-soul-audio-cd
46	WHITEPAPER	www.bizforum.org/whitepapers/ibm-7.htm
47	STORE LOCATOR	www.yee.space/origins-skin-care-store-locations
48	PRODUCT CATEGORY	www.walmart.com/c/christmas/artificial-christmas-wreaths
49	DOCUMENTATION	www.simple-talk.com/sql/database-administration/brads-sure-dba-checklist/
50	INFOGRAPHIC	www.theproducersperspective.com/my_weblog/2014/10/the-last-20-years-of-best-musical-winners-a-by-the-numbers-infographic.html
51	PRESS RELEASE	ir.valeant.com/news-releases/Archive/2009/07-01-2009
52	DOCUMENTATION	www.nytimes.com/2014/06/16/us/thousands-to-be-questioned-on-eligibility-for-health-insurance-subsidies.html
53	DOCUMENTATION	docs.jboss.org/author/display/AS7/Documentation
54	INFOGRAPHIC	www.magnetmediafilms.com/blog/infographic-native-ads-vs-display-ads-and-how-mobile-fits-in
55	INFOGRAPHIC	www.adweek.com/socialtimes/a-brief-history-of-yelp-infographic/91133
56	PRESS RELEASE	www.nsf.gov/news/?prio_area=0&org=NSF&page=2
57	WHITEPAPER	www.tableau.com/learn/whitepapers/top-10-cloud-trends-2016
58	PRODUCT CATEGORY	www.walmart.com/c/kp/counter-height-dining-tables
59	PRODUCT CATEGORY	www.superbrightleds.com/cat/controllers/
60	PRODUCT COMPARISON	www.best-home-ideas.com/2014/08/janome-hd1000-vs-hd3000-comparison.html
61	PRODUCT CATEGORY	www.amazon.com/s?rh=n%3A552794%2Cp_4%3ABosch
62	PRODUCT COMPARISON	www.ehow.com/how_2095444_compare-workers-compensation-insurance.html
63	PRESS RELEASE	www.justice.gov/archive/opa/pr/2001/September/466ag.htm
